HEIGHT,PCT_TREE,NDVI_DELTA,NPP,PRECIP_ANN,TEMP_MEAN,TEMP_SDEV,PRECIP_CV,CTI,ELEV,LC_TYPE,X,Y,NCBD_30M
19,56,0.0071,4143,546,-16,7814,22,211,2752,1,-114.540281801645,44.1000720046761,85
16,7,0.05012,1434,714,-15,7491,18,217,3344,10,-110.636873588562,40.8498072968084,26
15,5,-0.07649,1651,643,-15,8045,14,514,2638,10,-110.160642077046,44.5778700483257,71
22,14,0.01069,2433,629,-15,7897,19,196,3413,1,-106.221956937912,38.7669205838103,119
0,22,0.08049,2705,513,-15,7584,25,307,2786,10,-112.993962989817,45.4531649530233,62
0,3,0.0683,2716,637,-15,8218,16,296,2742,10,-111.845306535993,44.8544122952702,9
19,26,0.01582,3832,635,-15,7819,15,272,3381,1,-106.683952927415,39.2202151929516,77
16,7,0.12914,3016,643,-14,8222,18,276,2658,10,-110.489824222821,43.9867415843123,57
20,58,0.04384,3765,513,-14,7802,18,260,2696,1,-114.415811798255,44.4231603167004,98
21,59,0.08377,3924,655,-14,8442,16,340,2564,1,-110.609578177999,44.5702739948415,141
0,2,0.01072,685,787,-13,6918,35,214,2459,7,-117.271025054199,45.146320136261,45
11,11,0.0322,1180,561,-13,7308,20,130,2974,1,-109.281432168002,43.9995994917951,29
0,8,0.18785,1726,553,-13,8025,15,348,2764,10,-110.396549340513,43.3607729209327,55
0,9,-0.01262,1776,634,-13,7868,15,246,3304,10,-107.137946081351,39.1384218292497,124
16,8,-0.00274,1788,459,-13,7917,14,525,3061,10,-109.407589020751,42.867829919927,127
22,34,0.0211,2535,756,-13,7633,16,290,3433,1,-105.778895625673,39.8150169481534,107
16,34,0.00352,3219,691,-13,8534,20,441,2571,8,-110.812191399321,44.3204811165353,75
0,24,0.04249,3463,577,-13,7773,24,229,2584,1,-114.9417935408,44.3854253554157,66
24,46,0.01953,3694,845,-13,7483,21,361,3499,10,-107.011155101862,37.9191145437631,139
21,48,0.06133,4273,725,-13,8245,16,276,2633,1,-110.925807501633,45.052846751027,92
21,57,0.07804,4597,663,-13,8427,16,266,2533,1,-110.648144920489,44.6232449554855,142
22,49,0.03559,5060,669,-13,7834,20,233,3378,1,-106.26066779482,38.358777468491,137
14,4,0.09016,1383,739,-12,7235,32,266,2550,10,-110.594838313775,46.9818109653918,35
18,8,-0.00803,1705,634,-12,7903,14,237,2590,12,-109.980063332762,44.5915489891455,39
24,40,0.06689,2857,709,-12,7333,16,163,3369,1,-105.628272758281,40.4577594464868,86
20,44,0.03433,3448,527,-12,7854,21,214,2644,1,-114.622418049133,44.3518762971842,71
22,44,0.04286,3451,666,-12,7800,21,195,3462,1,-106.202706886572,38.2977876029714,116
0,6,-0.00143,3710,728,-12,7022,35,256,2069,1,-120.33199665097,48.7429506473482,16
24,52,0.08451,3871,531,-12,7514,16,205,2929,1,-109.707618695475,43.8047060626861,144
15,3,0.03343,2159,660,-11,7626,13,448,3358,7,-107.315376677048,39.9509018099976,106
14,6,0.02239,2505,707,-11,8393,16,499,2595,10,-110.921034716378,44.9590863565456,145
13,17,0.0759,2624,697,-11,8630,21,381,2501,1,-110.958259109375,44.3013155200553,49
17,8,0.01102,2667,733,-11,7424,15,364,3351,1,-105.682897015818,40.1404058729065,0
18,9,0.00728,2766,689,-11,7441,28,330,3471,10,-105.641099757001,38.0485313118141,123
16,33,0.03192,3786,685,-11,8498,21,263,2570,1,-110.83921186241,44.0521592950058,83
17,42,0.02552,3797,670,-11,8551,19,484,2513,1,-110.694143516525,44.3267784998981,159
20,48,0.04547,4137,553,-11,8062,15,416,2753,1,-110.358787518406,43.4901588788748,171
24,49,0.00101,4578,687,-11,7602,17,301,3443,12,-105.678002834263,39.5544241388105,48
0,0,0.02881,20465,1266,-11,6447,49,170,2036,15,-121.01835805166,48.5011609217822,18
0,4,0.02373,1573,430,-10,8047,15,316,2848,10,-109.606853242026,42.9049289221168,56
0,15,0.05056,1592,551,-10,7910,26,267,2685,1,-114.611971326624,43.7568826329156,81
0,13,0.09689,1947,523,-10,7414,23,223,2510,10,-113.348006445481,45.9634272934424,38
25,50,0.02899,3055,574,-10,7605,15,175,2903,1,-109.770528075754,44.2316179808638,187
0,43,0.02861,3229,545,-10,7904,26,251,2601,7,-114.702237747643,43.9045905670405,47
0,35,0.16028,3434,531,-10,7397,24,168,2577,1,-113.255020258022,46.0128065002228,83
19,39,0.06177,3437,609,-10,7471,26,374,2739,1,-107.662808927477,44.743316008284,149
16,18,0.03334,3868,602,-10,8094,16,302,3330,10,-106.917711406465,39.0847305955385,83
17,38,0.03892,4313,632,-10,8373,17,234,2537,1,-110.455444953673,44.1853761722846,163
18,40,0.20855,4331,683,-10,8647,21,217,2514,1,-111.425525352658,44.5544445404545,92
20,49,0.06079,4970,689,-10,7619,13,208,3213,1,-106.016946197909,40.2452889837082,135
23,63,-0.0147,5441,640,-10,7596,27,296,3339,1,-105.440784327647,39.1964791811228,35
0,3,-0.04598,966,1610,-9,6281,55,168,2116,1,-120.851006028462,47.5612810336861,123
0,3,0.07388,1057,710,-9,7352,21,103,2218,10,-113.404962513911,48.4979452434774,0
0,11,-0.00169,2334,599,-9,8041,15,354,3516,10,-107.042737595976,39.090962193712,42
21,45,-0.01108,3130,525,-9,7570,16,682,2832,1,-109.766854847393,43.8641567042873,167
19,14,0.15995,3181,633,-9,8584,20,125,2547,10,-111.667474703387,44.5609742544657,94
18,54,0.02666,3561,595,-9,7534,27,309,2963,1,-107.190567066925,44.2342947759456,119
22,47,0.00654,3692,535,-9,7604,15,229,2870,1,-109.834495071786,43.9396533787883,116
23,57,0.02885,3804,696,-9,7342,26,223,2435,1,-115.347101885171,45.1533260987328,75
16,39,0.1303,3933,708,-9,8527,17,305,2543,1,-111.242801785063,44.8954655640268,92
23,44,-0.06597,4990,632,-9,7697,17,447,3392,1,-105.894545523777,39.4397190642957,109
17,67,0.07062,5061,606,-9,7524,26,228,2775,1,-107.338811172648,44.6210628308532,139
12,26,0.057,2072,691,-8,8674,22,387,2513,1,-110.937890744133,44.3049483896622,49
17,17,-0.01852,2410,644,-8,7610,9,260,3200,10,-106.644111407268,40.7663594783126,80
16,48,0.04771,3093,590,-8,7559,27,235,2853,3,-107.31766503226,44.3323089411551,110
22,36,-0.01344,3824,642,-8,7386,20,293,2234,1,-114.805894693201,45.6337126721088,82
23,51,-0.03338,4989,637,-8,7723,16,284,3326,1,-105.941595793904,39.5557817592963,118
20,45,-0.0119,5056,622,-8,7628,29,253,3223,8,-105.43890699561,39.1777933039129,71
22,49,-0.03163,5173,643,-8,7743,13,175,3224,1,-106.209420148581,39.8767853429427,142
16,3,0.04026,1837,443,-7,7994,25,198,2617,10,-113.097349531524,44.7102981974945,57
12,5,0.09137,2350,483,-7,7911,12,304,2717,10,-110.062215890693,43.4238475148302,45
18,17,0.10077,2584,462,-7,7982,12,275,2696,1,-110.06073781501,43.2632549212907,5
0,17,-0.02343,2625,564,-7,7343,24,262,2569,10,-113.046039206581,46.3593306257526,129
0,39,0.01051,2986,591,-7,8282,14,485,2495,1,-110.249235978595,44.4918886990849,145
19,21,0.00072,3036,623,-7,7690,28,261,3499,10,-105.744012014314,38.2438311460173,20
23,26,0.00291,3549,675,-7,7544,31,256,2399,1,-115.625939051248,44.5129671387769,68
21,8,0.06905,3780,773,-7,7148,28,227,2296,10,-115.793017175499,45.3327046355899,74
21,45,0.04972,3911,538,-7,7924,26,253,2584,1,-114.686253280083,43.8557904514761,115
21,56,0.0411,4115,448,-7,7957,17,359,2988,1,-109.070882750923,42.8290093962243,95
20,38,0.01861,4214,801,-7,7612,21,563,3274,10,-106.902255513775,37.8777042088044,116
23,51,0.04753,4365,814,-7,7486,21,308,3412,1,-106.601149466288,37.858769554649,100
23,62,0.00787,4501,627,-7,8365,17,486,2626,1,-111.748609606153,44.9344601621752,137
23,66,0.06352,4781,582,-7,8246,17,275,2560,1,-110.387284076624,43.7595648744985,109
24,75,-0.03854,4970,483,-7,7540,26,291,2558,1,-113.253489872416,45.6951383645076,136
22,55,0.08429,5180,645,-7,7699,10,658,3142,1,-106.331344091753,40.4000810536142,112
21,62,0.05559,5461,652,-7,7476,13,299,3166,1,-106.088613004771,40.8554350275256,140
23,53,0.07921,5469,621,-7,7645,23,625,3380,1,-105.614552063765,39.353397789312,116
0,4,0.09089,2326,479,-6,7931,13,303,2705,10,-110.05632677209,43.4257177471809,45
22,63,0.02943,3341,797,-6,7359,20,265,3369,1,-107.788401788394,38.0233281087133,160
17,30,0.06619,3639,586,-6,7565,28,267,2896,1,-107.065346433628,44.1549664879459,86
21,25,0.04513,3980,793,-6,7536,21,252,3429,9,-106.597474257372,37.8684435016862,158
22,42,0.10358,4001,648,-6,7605,29,261,2367,1,-115.448556804364,44.6118331474322,76
21,45,0.05101,4264,627,-6,8040,17,256,3160,1,-107.29406719922,38.7247509425268,170
23,68,0.00794,4571,480,-6,7923,18,278,2549,1,-114.441360593334,44.4604162528768,112
24,72,0.12426,4583,460,-6,8043,12,530,2675,1,-110.109799162811,43.2249895135201,199
0,8,0.0661,1400,635,-5,7256,18,344,2235,1,-114.348257902708,46.458455716988,112
20,36,0.04354,2030,496,-5,7492,23,346,2413,3,-113.603638510694,45.8748725792429,130
20,17,0.03588,2467,527,-5,7359,23,336,2901,1,-109.286648131305,44.019493584491,29
17,8,-0.00121,3161,648,-5,8466,21,236,2580,10,-110.910121631691,43.793718387554,149
23,13,0.01769,3558,588,-5,7665,21,354,2410,3,-114.943986712925,44.9694292620665,20
22,35,0.02462,3650,565,-5,8179,18,195,2570,1,-112.034598785166,44.955927065546,26
21,72,0.05227,4982,462,-5,7777,19,340,2570,1,-114.093342448477,44.9957104985986,152
21,66,0.01191,5668,576,-5,8030,23,168,3304,1,-106.19052939301,38.4434347840025,147
0,29,0.04781,1208,734,-4,7553,22,265,3173,10,-110.941602535043,40.7019924617508,113
13,4,-0.00099,1392,738,-4,7344,28,309,2509,10,-110.303982098444,46.2643324872059,34
18,33,0.05214,1500,635,-4,7833,16,324,2594,1,-109.788582338585,44.7493358870779,138
20,26,0.05007,2363,580,-4,7718,10,214,3261,1,-109.801967037966,40.6947164169027,91
12,4,0.08305,2878,623,-4,8660,19,265,2428,10,-111.663701282302,44.7226674683966,60
0,34,0.00202,3086,634,-4,7161,33,305,2127,1,-120.374140390206,48.9382669278487,180
18,37,0.02834,3087,589,-4,7574,27,321,2674,10,-107.878766305079,44.7864560879042,113
19,18,0.1705,3104,624,-4,8493,21,263,2492,10,-110.503851903183,43.96981012121,72
22,58,0.00877,4355,538,-4,7851,22,185,2375,1,-114.865180708474,44.6297980574129,117
0,56,-0.06952,5502,871,-4,7055,45,160,1977,1,-120.327712946012,48.2662291420119,63
19,26,0.02603,1541,686,-3,7593,18,295,3119,1,-110.729763544405,40.575312133308,51
0,8,-0.00309,2055,561,-3,7985,31,291,2555,10,-115.075403450671,43.9255941974384,0
18,16,0.15686,2643,664,-3,8699,17,637,2349,10,-110.944423892245,44.7684788965976,7
16,6,0.05792,2728,474,-3,7462,22,301,2795,10,-109.437526140634,43.6959584457912,31
0,12,0.02214,2750,662,-3,7456,24,139,2217,7,-115.214840266455,45.1924933830033,10
21,39,-0.02942,3473,534,-3,7801,15,176,2677,1,-109.932527943446,44.1041769577723,161
19,36,0.04826,3748,694,-3,7435,29,162,2259,10,-115.655338742019,44.8127107860928,71
22,46,0.07982,3891,586,-3,8193,17,389,3169,1,-107.217136546254,38.7809408386967,152
20,42,0.00344,4196,651,-3,8227,16,313,2483,1,-110.107115395849,44.9986579634245,157
18,33,-0.03275,4248,700,-3,8510,17,270,2418,1,-111.239701519278,45.0353944529111,139
19,55,0.00327,4276,467,-3,7901,18,270,2487,1,-114.384593493042,44.7279766855957,110
23,52,0.0509,4524,551,-3,8268,16,656,2524,1,-110.309034258294,43.7492535800426,135
21,53,-0.03587,5973,610,-3,7208,32,353,1989,1,-120.334377859207,48.93388089258,180
0,1,0.11995,20562,700,-3,5393,57,237,3415,10,-118.812435471086,37.4821766850677,0
14,2,0.01297,1401,692,-2,7635,19,195,3100,10,-110.762096202413,40.5520003611943,70
0,2,0.04738,1699,552,-2,8007,31,212,2468,10,-114.955018281333,43.8090017501137,22
14,3,0.04148,2095,750,-2,7539,22,271,2536,10,-110.971428044891,45.9196628418914,25
20,14,0.03033,2561,418,-2,8123,26,231,2572,1,-113.116018232058,44.5830058852409,10
17,35,-0.00117,3168,651,-2,8570,22,460,2536,1,-110.907951643696,43.8539550874117,173
0,41,0.0364,3727,467,-2,8021,20,231,2385,1,-114.506814053278,44.4180793719724,60
21,48,-0.02001,4025,399,-2,8238,17,816,2850,1,-109.328277159548,42.7330895708652,147
21,24,-0.02519,4235,463,-2,8001,18,284,2399,7,-114.447293633632,44.5265864350703,76
22,45,0.06014,4292,423,-2,8055,14,339,2679,1,-109.95491134747,43.1919455381666,170
22,54,0.03392,4372,402,-2,8122,25,220,2657,1,-113.497951730452,44.4991435452965,117
23,49,-0.01267,4372,817,-2,7220,21,374,3320,1,-107.905600829113,37.7666333922203,141
20,54,-0.01269,4544,484,-2,7943,19,460,2440,1,-114.552260890313,44.6355985810463,59
22,68,0.04527,4630,583,-2,8481,16,1114,2356,1,-110.381301172971,44.756759948602,115
24,57,-0.0159,4708,535,-2,7402,24,247,2368,1,-113.111607655151,46.3430447332176,129
23,55,0.04898,4724,647,-2,7608,28,278,2338,1,-115.448228614942,44.7117504375871,90
0,27,-0.00948,4928,472,-2,8056,20,299,2624,1,-114.358268903371,44.0211987665006,19
20,26,0.0192,3006,505,-1,8303,12,299,2642,10,-110.824686247511,42.765440719245,190
0,22,0.17518,3085,658,-1,8843,22,234,2368,3,-111.46957356917,44.6584168574458,73
20,48,0.05893,4148,513,-1,8249,18,588,3387,7,-106.447008319746,38.982412626547,112
0,41,0.00504,4452,543,-1,8701,17,181,3028,14,-106.840339556003,38.8376515698802,134
21,65,0.03535,5119,659,-1,7941,20,445,3227,1,-107.395522118414,38.1832579912262,168
0,12,-0.01086,11379,719,-1,7703,19,303,2500,10,-109.91538566741,45.3034078529686,0
0,35,-0.00221,1612,555,0,8350,14,867,2406,9,-110.218799409634,44.3348213800578,101
17,22,0.05314,2042,635,0,8102,21,406,3183,12,-106.774695613381,38.0526213137309,83
15,4,0.07731,2855,601,0,8446,16,234,2357,14,-110.506680716588,44.9301796395153,34
0,41,0.07547,3694,767,0,7162,29,335,2325,1,-115.842645078202,45.3356590420348,70
19,42,0.07614,3884,561,0,7500,14,265,3037,1,-106.520950200459,41.4440490769448,111
22,51,0.02046,3949,520,0,7435,25,274,2432,1,-113.167567854507,46.2702626055263,73
23,61,0.0057,4115,806,0,7219,21,157,3375,1,-108.024409710598,37.8746525128993,179
20,48,0.06196,4376,503,0,8237,19,622,3299,1,-106.423301323239,38.9848372806678,98
23,46,0.02986,5383,528,0,7864,15,198,3150,1,-106.421731443059,39.4424343052674,106
15,24,-0.06214,2038,444,1,7679,31,175,2523,1,-113.099956755905,45.7076008666926,83
22,26,0.08681,3520,774,1,7569,19,249,3231,10,-108.043425823577,39.0459539642268,165
22,23,0.05987,3844,707,1,7716,17,274,3121,1,-107.763361296633,39.0016221154179,72
17,32,0.01819,4263,529,1,8462,16,401,3131,10,-106.998538857371,38.9819336014387,137
19,45,0.14798,4327,636,1,8807,17,266,2325,1,-110.896027311517,44.6959448516901,82
22,62,0.06769,4807,409,1,7819,32,224,2487,1,-113.194291234519,45.2375577862053,107
